subject,level,true_time,min_time,coco_count,rmi,level_order,s_total_time,s_rmi,s_time_in_game
68,9,150.68701171875,1089.365966796875,275,0.4449329154790903,6,-0.47489973038386524,-0.5477276799739941,0.1651445647689541
68,4,157.8160400390625,1240.0450439453125,284,0.47843804761049025,7,-0.40975015437190415,-0.3178924245441967,0.49543369430686224
68,5,242.2120361328125,1397.8599853515625,345,0.37982727865851895,8,0.36151391073899397,-0.9943330122523963,0.8257228238447705
68,6,139.06298828125,1640.10595703125,239,0.4571252038800254,9,-0.5811274187139107,-0.464092202641358,1.1560119533826787
68,10,286.8099365234375,1779.135009765625,335,0.46519175360944753,10,0.769077770906901,-0.4087580672549344,1.4863010829205867
69,3,168.12709426879883,56.44089889526367,327,0.18225231130790287,1,0.23462939582266676,-1.172716423162069,-1.4863010829205867
69,9,288.92779541015625,224.6721038818359,280,0.4752321696631896,2,2.271673536285804,0.019063028399868377,-1.1560119533826787
69,8,103.4703369140625,513.59979248046875,212,0.6459718357793354,3,-0.8556678248589491,0.7135955016766161,-0.8257228238447705
69,5,155.42034912109375,617.0701904296875,349,0.26837974562972877,4,0.02035745449343473,-0.8223684264884259,-0.49543369430686224
69,4,177.4033203125,772.5009155273436,323,0.2531087864608276,5,0.3910530070219212,-0.8844874248567975,-0.1651445647689541
69,10,161.9332275390625,949.8939208984376,346,0.35512771627373096,6,0.1301831483306534,-0.46949622066993174,0.1651445647689541
69,2,86.1949462890625,1111.8270263671875,204,0.8273072020827397,7,-1.1469801509826931,1.4512290189260608,0.49543369430686224
69,6,82.3489990234375,1198.02197265625,210,0.6431426749269773,8,-1.2118337840158664,0.7020870799443788,0.8257228238447705
69,7,146.998046875,1280.3709716796875,211,0.8146783729198539,9,-0.12166656753222094,1.3998576407770487,1.1560119533826787
69,1,171.3070068359375,1427.3690185546875,346,0.24025748456313112,10,0.2882517854352486,-0.9367637745467495,1.4863010829205867
70,10,207.67219161987305,59.36149978637695,349,0.33260535083463916,1,1.1774146587201852,1.3370391952924336,-1.4863010829205867
70,1,177.78170776367188,267.1510009765625,348,0.2613315936901801,2,0.30691650375193785,0.1832691320085507,-1.1560119533826787
70,5,165.94857788085938,444.9325866699219,348,0.1742440121575357,3,-0.03769878518226573,-1.2264930088100756,-0.8257228238447705
70,4,208.19921875,610.88079833984375,301,0.2310381174482747,4,1.192763227401804,-0.3071176162285486,-0.49543369430686224
70,2,132.34918212890636,819.07989501953125,263,0.31029160738400563,5,-1.0162112826992686,0.9758272959259187,-0.1651445647689541
70,7,144.3836669921874,951.4127197265624,303,0.15113496609112265,6,-0.6657319488792492,-1.600579160721998,0.1651445647689541
70,8,143.06689453125,1095.7960205078125,239,0.2985851112787521,7,-0.7040802072504897,0.7863241001730211,0.49543369430686224
70,3,164.8800048828125,1238.8780517578125,340,0.2741057289581983,8,-0.06881875057739642,0.39005512796364133,0.8257228238447705
70,9,213.25,1403.7440185546875,310,0.2802398737893126,9,1.3398567231252287,0.489353845381367,1.1560119533826787
70,6,114.8990478515625,1616.9940185546875,256,0.186525686103033,10,-1.5244101384104844,-1.027678910984309,1.4863010829205867
71,9,201.07757568359375,49.82823181152344,321,0.32537487677548305,1,1.2358679333751854,-0.17815542997548786,-1.4863010829205867
71,5,155.58299255371094,251.0225067138672,337,0.29338064677274467,2,0.07694425625826927,-0.4574822976237627,-1.1560119533826787
71,7,148.09957885742188,406.6051940917969,287,0.2589521591286269,3,-0.11368734692689773,-0.7580615461531272,-0.8257228238447705
71,1,182.18280029296875,554.705078125,345,0.2078924354252838,4,0.7545446401935396,-1.203840447030582,-0.49543369430686224
71,4,205.03314208984364,736.87152099609375,296,0.26767245999569456,5,1.336631568279231,-0.6819286207493883,-0.1651445647689541
71,8,115.48266601562511,941.9207763671876,255,0.33438560698199593,6,-0.9445667608320677,-0.09948689994386928,0.1651445647689541
71,10,163.416015625,1057.404052734375,343,0.32988575416399235,7,0.2764817676759136,-0.1387730397391893,0.49543369430686224
71,3,161.134033203125,1220.8199462890625,304,0.3479928111704933,8,0.21835081498808856,0.01931132470783013,0.8257228238447705
71,6,90.781982421875,1381.9530029296875,214,0.5743169160499981,9,-1.5737890789275035,1.9952427124574608,1.1560119533826787
71,2,102.833984375,1472.718994140625,207,0.5179551636419065,10,-1.2667777940837586,1.5031742440501146,1.4863010829205867
72,8,121.27057647705078,45.19683074951172,262,0.26394902428286926,1,-0.554478554741166,-0.8012051688310909,-1.4863010829205867
72,4,160.15350341796875,166.58279418945313,324,0.31720138475013093,2,0.969895417082081,-0.22473571295322597,-1.1560119533826787
72,6,86.420379638671875,326.72088623046875,212,0.5391825488773064,3,-1.9207525766033542,2.1782631358620876,-0.8257228238447705
72,3,152.00442504882813,413.1412963867187,342,0.26384255802965795,4,0.650417334088452,-0.8023576913206023,-0.49543369430686224
72,7,135.43719482421875,565.16192626953125,281,0.3564419103092006,5,9.123578305686879e-4,0.20005230055286422,-0.1651445647689541
72,5,153.30426025390636,700.59918212890625,346,0.3136023711441176,6,0.7013763310099431,-0.26369589043551867,0.1651445647689541
72,9,129.00384521484364,853.90362548828125,300,0.33767786417875123,7,-0.2513019549209382,-0.003072957519729153,0.49543369430686224
72,10,158.720947265625,982.90771484375,344,0.30793542217155245,8,0.9137332018474551,-0.32504195964329813,0.8257228238447705
72,2,102.653076171875,1141.6290283203125,238,0.4472811028054011,9,-1.284362725465874,1.1834081445226876,1.1560119533826787
72,1,155.1710205078125,1244.281005859375,343,0.2325031527596625,10,0.7745611698728347,-1.1416142002341718,1.4863010829205867
73,6,117.30999755859376,56.064300537109375,233,0.26693008806067486,1,-1.1280463595372148,-0.9351976267831978,-1.4863010829205867
73,5,170.40701293945313,173.48989868164065,345,0.28732974708669046,2,0.578848113679271,-0.7333014626358413,-1.1560119533826787
73,3,146.27627563476565,343.88140869140625,281,0.3734708466153883,3,-0.19687575412324534,0.11924011897100766,-0.8257228238447705
73,8,115.94479370117188,490.17388916015625,213,0.5916095998760986,4,-1.1719331750640867,2.278167259814799,-0.49543369430686224
73,4,166.55731201171875,606.11810302734375,283,0.3576368104730058,5,0.4550928858203632,-0.03746991015451543,-0.1651445647689541
73,2,112.328125,772.6597900390625,242,0.43627001314757297,6,-1.2881971829975851,0.7407657443910098,0.1651445647689541
73,7,151.6591796875,885.00531005859375,287,0.2832208324011888,7,-0.023833086629376613,-0.7739675400812328,0.49543369430686224
73,10,154.458984375,1036.64794921875,340,0.3801944935738024,8,0.06617142893332117,0.18578429641307476,0.8257228238447705
73,1,209.123046875,1191.10595703125,346,0.2531630404614631,9,1.8234413149248005,-1.0714505954416558,1.1560119533826787
73,9,179.94091796875,1400.22900390625,298,0.3844023612818904,10,0.8853318149937519,0.2274297155065541,1.4863010829205867
74,5,203.27801513671875,262.87298583984375,347,0.22602369977619352,1,0.05828534786194036,-0.5454324134648095,-1.4863010829205867
74,6,144.5670166015625,466.2669982910156,225,0.16905959084232958,2,-1.4712921965243024,-1.969905796031364,-1.1560119533826787
74,10,229.54901123046875,610.833984375,343,0.24268012726455113,3,0.7427146148858479,-0.12891334470587879,-0.8257228238447705
74,8,185.81793212890625,840.36700439453125,232,0.2301059338141631,4,-0.3965962170611614,-0.44334999986563967,-0.49543369430686224
74,9,254.2650146484375,1026.2010498046875,273,0.31617902949881405,5,1.386632190098964,1.7090374604602971,-0.1651445647689541
74,3,207.570068359375,1280.449951171875,300,0.2706273112944422,6,0.17010474103329745,0.5699481053080033,0.1651445647689541
74,2,143.0830078125,1488.02294921875,234,0.28120409444868455,7,-1.5099545694366383,0.8344365061340183,0.49543369430686224
74,1,222.56689453125,1631.10302734375,349,0.22182009210184117,8,0.5608119189367375,-0.6505499577385114,0.8257228238447705
74,4,242.7779541015625,1853.6700439453125,278,0.2665542519010895,9,1.0873637344111597,0.4680951175226644,1.1560119533826787
74,7,176.93310546875,2096.447998046875,276,0.2540990618777432,10,-0.6280695642058447,0.15663432238121738,1.4863010829205867
75,8,126.12470245361328,51.55970001220703,237,0.28919933277886645,1,-0.5419440801614211,-0.554161846777435,-1.4863010829205867
75,10,160.75331115722656,177.78480529785156,236,0.23042810233379385,2,0.6114417865898837,-0.8969932759605221,-1.1560119533826787
75,4,180.51907348632813,338.5378112792969,290,0.3385565577418417,3,1.2697861951416576,-0.26624532969204817,-0.8257228238447705
75,9,149.551513671875,519.0731201171875,286,0.3614316362562703,4,0.23834002519954872,-0.1328076629903739,-0.49543369430686224
75,3,170.585693359375,668.60858154296875,292,0.3108128702035997,5,0.938932006180247,-0.42808315370074973,-0.1651445647689541
75,7,139.51800537109375,839.20947265625,286,0.3573461726310483,6,-0.09584916406595803,-0.1566394821117958,0.1651445647689541
75,1,163.71905517578125,978.728271484375,346,0.23165589721348967,7,0.71022274728861,-0.889831154797461,0.49543369430686224
75,2,95.616943359375,1142.447021484375,207,0.7599421726191573,8,-1.5580755241566415,2.191832057688839,0.8257228238447705
75,5,145.66796875,1238.06396484375,345,0.34023982686485366,9,0.10898958365792694,-0.2564262812431427,1.1560119533826787
75,6,91.9010009765625,1383.7159423828125,204,0.6223745703441467,10,-1.6818435756738512,1.3893561295846903,1.4863010829205867
76,1,163.13229370117185,36.49440002441406,347,0.3673950204113019,1,0.24224285696126988,0.41020701671156,-1.161895003862225
76,10,161.74250793457034,199.7366943359375,347,0.4158105524623177,2,0.2228330268237164,1.2232147468680885,-0.3872983346207417
76,6,44.6658935546875,361.47711181640625,97,0.2927313255552596,3,-1.4122658875580667,-0.8435675161397639,0.3872983346207417
76,4,213.6080322265625,1337.8590087890625,251,0.29593001160195076,4,0.9471900037730805,-0.7898542474398864,1.161895003862225
77,8,104.49759674072266,43.490699768066406,231,0.4756819302843211,1,-0.6848858795084352,0.11703824220833291,-1.4863010829205867
77,4,159.24668884277344,148.09320068359375,288,0.3538401269989988,2,1.5048361699169321,-1.5743388517361665,-1.1560119533826787
77,3,136.37872314453125,307.3742980957031,313,0.4740723721589605,3,0.5902184695611631,0.09469476344159049,-0.8257228238447705
77,7,107.15936279296876,443.7179870605469,243,0.3830003462914049,4,-0.5784269851006337,-1.1695440634476417,-0.49543369430686224
77,9,125.9691162109375,550.87701416015625,291,0.4577228243202438,5,0.17388013492990073,-0.13226552412078535,-0.1651445647689541
77,2,95.98382568359376,676.8463134765625,216,0.5484321370022345,6,-1.025399146336769,1.126938210072884,0.1651445647689541
77,6,78.614990234375,772.83038330078125,226,0.5762612693933411,7,-1.7200759070966183,1.5132551866892086,0.49543369430686224
77,1,147.5745849609375,851.44488525390625,347,0.3946065315908722,8,1.0380035293756251,-1.0084299348457777,0.8257228238447705
77,10,138.67645263671875,999.0194702148436,345,0.507423312431027,9,0.6821175082389105,0.5576640803482764,1.1560119533826787
77,5,122.114990234375,1137.696044921875,344,0.5014675643086892,10,0.01973210601992256,0.47498789139007674,1.4863010829205867
78,8,189.88390350341797,93.43250274658205,249,0.2898440667498765,1,-0.028068351749758996,0.6064299961826607,-1.4863010829205867
78,4,233.88397216796875,283.43280029296875,282,0.2011013576174028,2,1.0698659576840786,-0.7171845129491397,-1.1560119533826787
78,1,225.90069580078125,517.3167724609375,346,0.2563447054311413,3,0.8706591543481281,0.10678060389358686,-0.8257228238447705
78,3,197.583740234375,743.217529296875,316,0.2635780495703597,4,0.16406577850371512,0.2146673175831676,-0.49543369430686224
